TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
SAS	SAS @ POR	11/15/2022	L	48	110	44	85	51.8	9	29	31.0	13	17	76.5	11	27	38	34	19	7	5	25	-7
MEM	MEM @ NOP	11/15/2022	L	48	102	38	92	41.3	9	35	25.7	17	25	68.0	14	37	51	16	11	6	8	17	-11
SAC	SAC vs. BKN	11/15/2022	W	48	153	56	94	59.6	20	41	48.8	21	25	84.0	9	34	43	39	17	9	4	24	32
BKN	BKN @ SAC	11/15/2022	L	48	121	40	81	49.4	11	28	39.3	30	33	90.9	3	26	29	25	17	5	3	18	-32
CHA	CHA @ ORL	11/14/2022	W	48	112	42	88	47.7	7	35	20.0	21	24	87.5	14	23	37	22	13	15	7	23	7
PHX	PHX @ MIA	11/14/2022	L	48	112	48	99	48.5	14	36	38.9	2	4	50.0	20	25	45	22	14	9	4	22	-1
MIA	MIA vs. PHX	11/14/2022	W	48	113	38	83	45.8	15	33	45.5	22	25	88.0	17	25	42	23	15	6	4	10	1
GSW	GSW vs. SAS	11/14/2022	W	48	132	47	88	53.4	23	45	51.1	15	16	93.8	5	35	40	35	13	9	3	17	37
SAS	SAS @ GSW	11/14/2022	L	48	95	36	100	36.0	10	40	25.0	13	19	68.4	22	31	53	18	19	6	6	17	-37
DET	DET vs. TOR	11/14/2022	L	48	111	35	77	45.5	10	31	32.3	31	43	72.1	11	28	39	23	19	8	2	23	-4
